Address,City,State,Zipcode,latitude,longitude,Common Name,Tree,Detail,Image URL,Image_name
,,CA,94110,37.761277,-122.3987,Catalina cherry,Prunus lyonii,"downhille from Arkansas and 19th, north side, below the building",,default_tree.png
906 Guerrero Street,San Francisco,CA,94110,37.756449,-122.42365,douglas fir,Pseudotsuga menziesii,,,default_tree.png
350 Collingwood Street,San Francisco,CA,94114,37.75676,-122.43609,douglas fir,Pseudotsuga menziesii,,,default_tree.png
559 Noe Street,San Francisco,CA,94114,37.7600095,-122.43245,pomegranate,Punica granatum,,,default_tree.png
239 Connecticut Street,San Francisco,CA,94107,37.763277,-122.39726,callery pear,Pyrus callereyana,,,pyrus_calleryana.jpg
101 Scott Street,San Francisco,CA,94117,37.770641,-122.4355,evergreen pear,Pyrus kawakamii,,,default_tree.png
1514 Sanchez Street,San Francisco,CA,94131,37.7448223,-122.42925,coast live oak,Quercus agrifolia,,,default_tree.png
,,,,37.75058,-122.420209,scarlet oak,Quercus coccinea,"across the street from 3473 25th Street, next to a cherry tree",,default_tree.png
,,,,37.77995,-122.465209,holm oak,Quercus ilex,across the street from 451 7th Avenue ,,default_tree.png
1646 Lyon Street,San Francisco,CA,94115,37.7862328,-122.44493,holm oak,Quercus ilex,,,default_tree.png
1145 Shotwell Street,San Francisco,CA,94110,37.75014,-122.41465,black oak,Quercus kelloggii,,,default_tree.png
,,,,37.754857,-122.424945,valley oak,Quercus lobata,"across the street from 108 Quane, deep in the yard",,default_tree.png
4736 17th Street,San Francisco,CA,94117,37.7618727,-122.44849,cork oak,Quercus suber,,,default_tree.png
2760 Sacramento Street,San Francisco,CA,94115,37.7895413,-122.43833,soapbark tree,Quillaja saponaria,,,default_tree.png
736 Masonic Street,San Francisco,CA,94117,37.774243,-122.44583,soapbark tree,Quillaja saponaria,,,quillaja_saponaria.jpg
3462 22nd Street,San Francisco,CA,94110,37.755201,-122.4247,China doll tree,Radermachera sinica,across street from 3645 22nd,,default_tree.png
372 Eureka Street,San Francisco,CA,94114,37.756051,-122.43815,Norfolk Island palm,Rhopalostylis baueri,against house - 2 trees,,default_tree.png
1745 20th Street,San Francisco,CA,94107,37.759641,-122.39894,nikau palm,Rhopalostylis sapida,against house on Wisconsin St. side (only one I know of on SF streets),,default_tree.png
239-1/2 Collingwood Street,San Francisco,CA,94114,37.758593,-122.43561,castor bean,Ricinis communis,in planter next to house,,default_tree.png
,,,,37.77583,-122.436063,weeping willow,Salix babylonica,in Alamo Square,,default_tree.png
4090 26th Street,San Francisco,CA,94131,37.748453,-122.43129,California pepper,Schinus molle,"uphill from 4090 26th, near the corner",,default_tree.png
589 Dolores Street,San Francisco,CA,94110,37.760077,-122.42557,Chilean pepper tree,Schinus polygama,,,default_tree.png
,,,,37.727973,-122.393363,Brazilian pepper,Schinus terebinthifolius,in island across street from 2238 Lane Street,https://imgur.com/a/vzEorFU,schinus_terebinthifolius.jpg
,,,,37.795246,-122.402263,coast redwood,Sequoia sempervirens,"in Redwood Park, east of the Transamerica Pyramid",,default_tree.png
,,,,37.750233,-122.412574,giant sequoia,Sequoiadendron giganteum,in Garfield Park,,default_tree.png
1055 Green Street,San Francisco,CA,94133,37.798283,-122.41647,giant sequoia,Sequoiadendron giganteum,,,default_tree.png
1751 Newhall Street,San Francisco,CA,94124,37.733103,-122.39427,Japanese pagoda tree,Sophora japonica,only example of this tree in San Francisco,,default_tree.png
1634 Jerrold Avenue,San Francisco,CA,94134,37.739736,-122.39025,fire wheel tree,Stenocarpus sinuatus,left of entrance to Flora Grubb nursery; the tree with orange-red protea-like flowers,,default_tree.png
350 Arkansas Street,San Francisco,CA,94107,37.761887,-122.39877,queen palm,Syagrus romanzoffianum,,,default_tree.png
,,,,37.743923,-122.480945,turpentine tree,Syncarpia glomulifera,in park across from 2333 24th Avenue,,default_tree.png
,,,,37.76891,-122.453724,turpentine tree,Syncarpia glomulifera,"in Golden Gate Park, off Stanyan near Haight Street",,default_tree.png
